year,year_start_date,year_end_date,reporting_days,avg_children_apprehended_cbp,total_children_apprehended_cbp,avg_cbp_custody,max_cbp_custody,avg_hhs_care,max_hhs_care,avg_total_system_load,min_total_system_load,max_total_system_load,total_transfers_to_hhs,total_discharges_from_hhs,avg_net_daily_intake,total_net_intake,min_net_daily_intake,max_net_daily_intake,avg_care_load_growth_rate_pct,backlog_pressure_days,max_backlog_severity_score,logical_anomaly_days,backlog_pressure_day_pct,logical_anomaly_day_pct,net_intake_per_reporting_day,calendar_period_label
2023,2023-01-12,2023-12-28,230,117.63,27056,200.47,412,8646.07,11516,8846.54,5730,11762,36124,66244,-130.96,-30120,-402,93,0.26,12,1,43,5.22,18.7,-130.96,Early Timeline
2024,2024-01-01,2024-12-30,251,148.07,37166,276.9,531,7042.96,10870,7319.86,5947,10994,52552,51689,3.44,863,-465,206,-0.2,148,3,31,58.96,12.35,3.44,Middle Timeline
2025,2025-01-01,2025-12-21,239,13.03,3115,32.91,196,2542.84,6405,2575.74,2002,6471,3965,6920,-12.36,-2955,-171,63,-0.39,78,3,12,32.64,5.02,-12.36,Late Timeline
